;full_text;created_at;retweet_count;favorite_count;retweeted
3247;👍 https://t.co/03i8xEw9CH;Fri Jul 27 15:56:05 +0000 2018;4;16;False
3246;RT @MorrellGeoff: ‘Our biggest transaction in 20 years.’ Watch BP CFO Brian Gilvary tell @CNBC about our deal to buy most of @BHP’s world-c…;Fri Jul 27 16:21:58 +0000 2018;9;0;False
3245;Nice view! But can you work out which offshore platform this is, and where in the world you would find it? https://t.co/m2mKMeNTfj;Sat Jul 28 08:02:05 +0000 2018;3;30;False
3244;"Our new  accreditation programme, Advancing Low Carbon (ALC), is designed to encourage every part of BP to pursue lower carbon opportunities &amp; to encourage customers to make lower carbon choices #lowcarbon https://t.co/WqaMvQHiSk";Sat Jul 28 12:33:21 +0000 2018;10;19;False
3243;#BP's new #LNG #ships set sail. Read the story behind the numbers ➡️ https://t.co/vMUP23Wjg4 https://t.co/Shu132EQb3;Sat Jul 28 15:44:03 +0000 2018;7;19;False
3242;Ready for Ghazeer in the heart of the #Oman desert - this spot will be home to the second phase of giant #Khazzan field, which is expected on stream in 2021 https://t.co/YyOtmt8cuY https://t.co/raspwuOTIh;Sun Jul 29 07:54:03 +0000 2018;4;13;False
3241;🎥 Working together to make #jet fuel out of household waste - #BP Ventures and @FulcrumBio https://t.co/fojMSLGxHe https://t.co/fgUQ8cQac3;Sun Jul 29 11:46:00 +0000 2018;26;46;False
3240;Ready for Ghazeer in the heart of the #Oman desert - this spot will be home to the second phase of giant #Khazzan field, which is expected on stream in 2021 https://t.co/YyOtmt8cuY https://t.co/vb9ucRYDVa;Sun Jul 29 16:48:04 +0000 2018;2;14;False
3239;Gas produces around half the carbon dioxide emissions of coal when burned to generate power.  Take a look at #BP's growing natural #gas portfolio https://t.co/FUCdCV0z4g #natgas https://t.co/jVxgWICYNV;Mon Jul 30 07:32:04 +0000 2018;11;21;False
3238;People power - the individual stories behind the building of a #NatGas project across three countries (and counting): https://t.co/rI5s4Og7JR https://t.co/1O6x91kGxw;Mon Jul 30 11:25:04 +0000 2018;4;15;False
3237;#BP's new #LNG #ships set sail. Read the story behind the numbers ➡️ https://t.co/vMUP23Wjg4 https://t.co/ov38Z5XDUR;Mon Jul 30 15:38:19 +0000 2018;18;54;False
3236;@FUEGOFLORES sorry for the delay in reply. Please contact our Consumer Relations team at bpconsumer@bp.com or 1-800-333-3991 to file a claim.;Mon Jul 30 16:08:34 +0000 2018;0;1;False
3235;@MM01793535 We are  sorry to hear about this experience. We'd appreciate if you could reach out to us at bpconsumer@bp.com or 1-800-333-3991 with any details you have, including the site address. https://t.co/INHXF4AmFZ;Mon Jul 30 16:20:52 +0000 2018;0;1;False
3234;"Follow @BP_plc, #BPresults, #BP &amp; $BP for all the details of our latest financial results from 7am BST tomorrow https://t.co/exsXO9YKPP https://t.co/h3HfQxXZHe";Mon Jul 30 18:02:05 +0000 2018;4;14;False
3233;Strong earnings, strategic momentum and an increased dividend - #BP delivers another impressive set of results: https://t.co/exsXO9YKPP  $BP #BPresults https://t.co/jdj45ZYGa5;Tue Jul 31 06:02:28 +0000 2018;22;45;False
3232;CEO Bob Dudley on #BP's financial results for 2Q 2018  https://t.co/xmjaj60LK4  $BP #BPresults https://t.co/1gKOksC7Wo;Tue Jul 31 06:03:03 +0000 2018;13;25;False
3231;Take a look at the numbers as BP's underlying profit quadruples year on year  https://t.co/xmjaj60LK4  $BP #BPresults https://t.co/Ltq0VasdOW;Tue Jul 31 06:03:53 +0000 2018;13;30;False
